,name,DM,drift,drift_error,amplitude,xo,yo,sigmax,sigmay,theta,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error
95,14.0,557.6379473684211,-2105.5173268953727,0.6105674609679114,328.50019525717823,512.4968487263732,512.1908688360711,161.46955423570907,11.419425288949776,7.926325659900029,0.06832651932178355,0.003391534990926411,0.0334951557335333,0.03360661052514025,0.002374822276889806,2.090552851214549e-05
96,15.0,557.6379473684211,-299.9769431069738,0.1777240748629169,520.6737401401626,512.483759672184,512.4914700740577,66.60979781226007,46.988796744048365,2.0413521973693634,0.06277607210815878,0.006225508381070415,0.007605385947459013,0.008031313604642378,0.0056654083170002995,0.00023941666694803288
97,16.0,557.6379473684211,-895.3345733680345,0.07542561104226465,2591.4546534219803,512.4986847828383,512.4877157083434,125.87465387713912,46.25519046264756,1.7396000557113194,0.06017734698562055,0.0011671715897061182,0.0028870319140931184,0.002922937689183623,0.0010741075272460068,1.3951917021171325e-05
98,1.0,558.2271052631579,-899.9640203226403,0.14290711572224593,1816.7139266299096,512.499078789525,512.4833514857987,174.59719515074312,46.9257213557423,1.7387480013128986,0.11607471992542884,0.0034936738228201723,0.011007599344436804,0.01117627076813675,0.00299683571387329,2.6170686943289932e-05
99,2.0,558.2271052631579,-668.4184176048689,0.5321122506388586,81.45925601103649,512.4938985177066,512.4735028325387,44.44544233604506,178.4629631782656,3.366028742860141,0.03747890138109825,0.027033767172795074,0.0801617390736502,0.02043872787944261,0.08229122025486885,0.00017272860304770984
100,3.0,558.2271052631579,-2034.3137882332114,1.3547992966809055,184.24056401477674,512.495959472787,512.3359860402686,170.826707607116,19.189144175148666,4.7872558457917584,0.05688707346449258,0.007102733932539123,0.05259155939988292,0.05283021187747734,0.005923221968640182,4.967325596447558e-05
101,4.0,558.2271052631579,24.16037375047825,0.4145873032387099,4.180987610471129,512.3924108304692,511.87005062912,26.483845905692228,-161.7533033178684,3.2986264215595664,0.04659618988094046,0.4048486696750802,1.778226679023915,0.29475533527484854,1.8008634925652272,0.0026505871680110593
102,5.0,558.2271052631579,-1600.855691512836,38.947064039187254,5.50150436513723,512.4758446554627,512.2448171804467,37.29971661512967,167.40640270657514,3.2366220154703984,0.03817143158835686,0.27996512930361334,1.1557886085330042,0.2584697734748777,1.1622425565576615,0.002298066422536775
103,6.0,558.2271052631579,-3388.639955007647,3.436785688865402,153.64404380715484,512.4930900368048,511.5226620844224,158.40771615669297,12.291933638468674,1.6157951721143304,0.06342564311920068,0.005860668116374137,0.06532424879193836,0.06542450884527425,0.005074088609333945,4.557660463534894e-05
104,7.0,558.2271052631579,-870.4716597764216,0.6127759948089866,269.72225347066217,512.4959746402726,512.4747837744109,103.06687728479758,38.67144319087644,1.7443266091672032,0.05228797284093326,0.008150116521667496,0.019722187049227412,0.019979728024885086,0.0074966345341196845,0.00011972051293692541
